id_jabfung,nm_jabfung
5,"Guru Madya, lll/a"
6,"Guru Madya TK I, II l/b"
7,"Guru Dewasa, lll/c"
8,"Guru Dewasa TK I, lll/d"
9,"Guru Pembina, IV/a"
10,"Guru Pembina TK I, IV/b"
11,"Guru Utama Muda, IV/c"
12,"Guru Utama Madya, IV/d"
13,"Guru Utama, IV/e"
14,"Guru Pertama, lll/a"
15,"Guru Pertama, lll/b"
16,"Guru Muda, lll/c"
17,"Guru Muda, lll/d"
18,"Guru Madya, IV/a"
19,"Guru Madya, IV/b"
20,"Guru Madya, IV/c"
21,"Guru Utama, IV/d"
22,"Guru Utama, IV/e"
31,Dosen
32,"Asisten Ahli"
33,Lektor
34,"Lektor Kepala"
35,Profesor
